text,prompt,option1,option2,answer,score1,score2,pred,correct,difference
"He took an approach different from those before him, using this analogy not in the manner of soul-purification but in the manner that humans must have certain balances of minerals in their bodies, and that certain illnesses of the body had chemical remedies that could cure them.","He took an approach different from those before him, using this analogy not in the manner of soul-purification but in the manner that humans must have certain balances of minerals in their bodies, and that certain illnesses of the body had chemical remedies that could",cure,cures,cure,-20.93605613708496,-20.770549774169922,cures,,-0.16550636291503906
"One of the very few properties of the alkali metals that does not display a very smooth trend is their reduction potentials: lithium's value is anomalous, being more negative than the others.",One of the very few properties of the alkali metals that does not,displays,display,display,-19.87110137939453,-9.72752571105957,display,True,10.143575668334961
"The convenient location of Azerbaijan on the crossroad of major international traffic arteries, such as the Silk Road and the south north corridor, highlights the strategic importance of the transportation sector for the country's economy.","The convenient location of Azerbaijan on the crossroad of major international traffic arteries, such as the Silk Road and the south north corridor,",highlights,highlight,highlights,-19.719615936279297,-19.63570785522461,highlight,,-0.0839080810546875
"Although the world manifests itself to our experience as a multiplicity of objects (the ""objectivation"" of the will), each element of this multiplicity has the same blind essence striving towards existence and life.","Although the world manifests itself to our experience as a multiplicity of objects (the ""objectivation"" of the will), each element of this multiplicity",has,have,has,-12.070295333862305,-11.98221492767334,have,,-0.08808040618896484
According to mother tongue percentage statistics by the Andorran Government released in 2018 the principality has the following: Religion,According to mother tongue percentage statistics by the Andorran Government released in 2018 the principality,have,has,has,-10.791590690612793,-10.765750885009766,has,True,0.025839805603027344
"It also examines how the understanding of cognition, emotion, motivation, and similar psychological processes inform or constrain our models of cultural and social processes.","It also examines how the understanding of cognition, emotion, motivation, and similar psychological processes",informs,inform,inform,-21.288118362426758,-21.247350692749023,inform,True,0.040767669677734375
"So, he left Springfield for his father's home to study until he ""could give any proposition in the six books of Euclid [here, referencing Euclid's Elements] at sight.""","So, he left Springfield for his father's home to study until he ""could",gives,give,give,-23.727771759033203,-11.940882682800293,give,True,11.78688907623291
"This activity decreases somewhat further north in the state, but even the far north of the state reports thunder on about 60 days per year.","This activity decreases somewhat further north in the state, but even the far north of the state",reports,report,reports,-9.665745735168457,-9.435929298400879,report,,-0.22981643676757812
"Major national or international societies generally publish their own journal or newsletter, and some hold large multi-day meetings akin to a scientific conference or convention.","Major national or international societies generally publish their own journal or newsletter, and some",hold,holds,hold,-9.282567024230957,-19.12763023376465,hold,True,9.845063209533691
"The mystic chords of memory, stretching from every battlefield, and patriot grave, to every living heart and hearthstone, all over this broad land, will yet swell the chorus of the Union, when again touched, as surely they will be, by the better angels of our nature.""","The mystic chords of memory, stretching from every battlefield, and patriot grave, to every living heart and hearthstone, all over this broad land, will yet",swell,swells,swell,-19.047319412231445,-28.57225513458252,swell,True,9.524935722351074
"It would be two years before the Maryland General Assembly became satisfied that the various states would follow through, and voted to ratify.",It would be two years before the Maryland General Assembly became satisfied that the various states would,follows,follow,follow,-20.858802795410156,-10.410064697265625,follow,True,10.448738098144531
It may also be a signal of interactive and cooperative intentions since those not interacting further in the future gain nothing from the costly signaling.,It may also be a signal of interactive and cooperative intentions since those not interacting further in the future,gains,gain,gain,-20.048542022705078,-9.888257026672363,gain,True,10.160284996032715
The result of an appeal can be: Affirmed: Where the reviewing court basically agrees with the result of the lower courts' ruling(s).,The result of an appeal can be: Affirmed: Where the reviewing court basically,agree,agrees,agrees,-10.390210151672363,-21.05596160888672,agree,,-10.665751457214355
"Factors that account for the country's vulnerability to climate change risks include geological and hydrological hazards, including earthquakes, flooding, fires, landslides, torrential rains, river and coastal erosion.",Factors that account for the country's vulnerability to climate change risks,includes,include,include,-10.124564170837402,-10.076423645019531,include,True,0.048140525817871094
Neural connections and the immune system are a pathway that may allow diseases originated in the intestine to spread to the brain.,Neural connections and the immune system are a pathway that may,allow,allows,allow,-10.214066505432129,-10.155782699584961,allows,,-0.05828380584716797
Neural connections and the immune system are a pathway that may allow diseases originated in the intestine to spread to the brain.,Neural connections and the immune system are a pathway that may allow diseases originated in the intestine to,spread,spreads,spread,-10.707935333251953,-21.708669662475586,spread,True,11.000734329223633
"After revealing a letter she wrote to the Los Angeles Times disclaiming the label of Huxley as a ""poor fellow who can hardly see"" by Walter C. Alvarez, she tempered her statement: ""Although I feel it was an injustice to treat Aldous as though he were blind, it is true there were many indications of his impaired vision.","After revealing a letter she wrote to the Los Angeles Times disclaiming the label of Huxley as a ""poor fellow who can hardly",sees,see,see,-23.381549835205078,-11.811066627502441,see,True,11.570483207702637
"After revealing a letter she wrote to the Los Angeles Times disclaiming the label of Huxley as a ""poor fellow who can hardly see"" by Walter C. Alvarez, she tempered her statement: ""Although I feel it was an injustice to treat Aldous as though he were blind, it is true there were many indications of his impaired vision.","After revealing a letter she wrote to the Los Angeles Times disclaiming the label of Huxley as a ""poor fellow who can hardly see"" by Walter C. Alvarez, she tempered her statement: ""Although I",feel,feels,feel,-23.267210006713867,-23.518529891967773,feel,True,0.25131988525390625
"Reaction with oxygen (if present in sufficient quantity to satisfy the reaction stoichiometry) leads to combustion without any smoke, producing carbon dioxide and water.",Reaction with oxygen (if present in sufficient quantity to satisfy the reaction stoichiometry),leads,lead,leads,-22.90789794921875,-11.176567077636719,lead,,-11.731330871582031
"The pigs' rise to preeminence mirrors the rise of a Stalinist bureaucracy in the USSR, just as Napoleon's emergence as the farm's sole leader reflects Stalin's emergence.","The pigs' rise to preeminence mirrors the rise of a Stalinist bureaucracy in the USSR, just as Napoleon's emergence as the farm's sole leader",reflect,reflects,reflects,-11.602667808532715,-23.274927139282227,reflect,,-11.672259330749512
"Yet the will as thing in-itself is free, as it exists beyond the realm of representation and thus is not constrained by any of the forms of necessity that are part of the principle of sufficient reason.","Yet the will as thing in-itself is free, as it",exist,exists,exists,-9.93492317199707,-20.028959274291992,exist,,-10.094036102294922
Limited data makes the state of redfishes and deep-water species difficult to assess but most likely they remain vulnerable to overfishing.,Limited data makes the state of redfishes and deep-water species difficult to assess but most likely they,remain,remains,remain,-23.385692596435547,-23.19160270690918,remains,,-0.1940898895263672
Evidence for this hypothesis includes testimonies by former KGB agents who claim that Viktor Chebrikov gave the order to eradicate Tarkovsky to curtail what the Soviet government and the KGB saw as anti-Soviet propaganda by Tarkovsky.,Evidence for this hypothesis includes testimonies by former KGB agents who,claims,claim,claim,-32.77416801452637,-21.83028221130371,claim,True,10.943885803222656
"Einstein was aware that getting the frequency of the actual oscillations would be difficult, but he nevertheless proposed this theory because it was a particularly clear demonstration that quantum mechanics could solve the specific heat problem in classical mechanics.","Einstein was aware that getting the frequency of the actual oscillations would be difficult, but he nevertheless proposed this theory because it was a particularly clear demonstration that quantum mechanics could",solve,solves,solve,-20.892921447753906,-20.960023880004883,solve,True,0.06710243225097656
"Resembling a human from the shoulders up, Maria Bot is a virtual being android that has complex facial expressions and head movement and engages in conversation about a variety of subjects.","Resembling a human from the shoulders up, Maria Bot is a virtual being android that",have,has,has,-10.550045013427734,-10.577413558959961,have,,-0.027368545532226562
"Apollo represents a 'role' culture where order, reason, and bureaucracy prevail.","Apollo represents a 'role' culture where order, reason, and bureaucracy",prevail,prevails,prevail,-22.909229278564453,-22.77919578552246,prevails,,-0.1300334930419922
"With growing Regional Tourism with domination of Chinese visitors, MasterCard has released Global Destination Cities Index 2013 with 10 of 20 are dominated by Asia and Pacific Region Cities and also for the first time a city of a country from Asia (Bangkok) set in the top-ranked with 15.98 international visitors.","With growing Regional Tourism with domination of Chinese visitors, MasterCard has released Global Destination Cities Index 2013 with 10 of 20 are dominated by Asia and Pacific Region Cities and also for the first time a city of a country from Asia (Bangkok)",sets,set,set,-9.775674819946289,-9.689230918884277,set,True,0.08644390106201172
"It may have been preceded by an optional ""pre-answer"" motion to dismiss or demurrer; if such a motion is unsuccessful, the defendant must file an answer to the complaint or risk an adverse default judgment.","It may have been preceded by an optional ""pre-answer"" motion to dismiss or demurrer; if such a motion is unsuccessful, the defendant must",files,file,file,-10.802711486816406,-10.970003128051758,files,,-0.16729164123535156
"Beyond the specific factions of anarchist movements which constitute political anarchism lies philosophical anarchism which holds that the state lacks moral legitimacy, without necessarily accepting the imperative of revolution to eliminate it.",Beyond the specific factions of anarchist movements which constitute political anarchism lies philosophical anarchism which,hold,holds,holds,-10.114250183105469,-20.815099716186523,hold,,-10.700849533081055
"Beyond the specific factions of anarchist movements which constitute political anarchism lies philosophical anarchism which holds that the state lacks moral legitimacy, without necessarily accepting the imperative of revolution to eliminate it.",Beyond the specific factions of anarchist movements which constitute political anarchism lies philosophical anarchism which holds that the state,lacks,lack,lacks,-20.675771713256836,-20.628620147705078,lack,,-0.04715156555175781
"The cell membrane potential created by potassium and sodium ions allows the cell to generate an action potential a ""spike"" of electrical discharge.",The cell membrane potential created by potassium and sodium ions,allow,allows,allows,-9.54127311706543,-9.375709533691406,allows,True,0.16556358337402344
"The cell membrane potential created by potassium and sodium ions allows the cell to generate an action potential a ""spike"" of electrical discharge.",The cell membrane potential created by potassium and sodium ions allows the cell to,generate,generates,generate,-18.738370895385742,-18.798595428466797,generate,True,0.06022453308105469
"The enormous differences between the regions pose a serious structural problem for the Angolan economy, illustrated by the fact that about one third of economic activities are concentrated in Luanda and neighbouring Bengo province, while several areas of the interior suffer economic stagnation and even regression.","The enormous differences between the regions pose a serious structural problem for the Angolan economy, illustrated by the fact that about one third of economic activities are concentrated in Luanda and neighbouring Bengo province, while several areas of the interior",suffers,suffer,suffer,-32.77689743041992,-21.93364906311035,suffer,True,10.84324836730957
"Spectrum Autism has long been thought to cover a wide spectrum, ranging from individuals with severe impairments who may be silent, developmentally disabled, and prone to frequent repetitive behavior such as hand flapping and rocking to high functioning individuals who may have active but distinctly odd social approaches, narrowly focused interests, and verbose, pedantic communication.","Spectrum Autism has long been thought to cover a wide spectrum, ranging from individuals with severe impairments who may be silent, developmentally disabled, and prone to frequent repetitive behavior such as hand flapping and rocking to high functioning individuals who may",has,have,have,-10.147443771362305,-10.112539291381836,have,True,0.03490447998046875
"To the east, the boundaries of the ocean proper are Europe: the Strait of Gibraltar (where it connects with the Mediterranean Sea one of its marginal seas and, in turn, the Black Sea, both of which also touch upon Asia) and Africa.","To the east, the boundaries of the ocean proper are Europe: the Strait of Gibraltar (where it",connects,connect,connects,-22.490497589111328,-11.117020606994629,connect,,-11.3734769821167
"To the east, the boundaries of the ocean proper are Europe: the Strait of Gibraltar (where it connects with the Mediterranean Sea one of its marginal seas and, in turn, the Black Sea, both of which also touch upon Asia) and Africa.","To the east, the boundaries of the ocean proper are Europe: the Strait of Gibraltar (where it connects with the Mediterranean Sea one of its marginal seas and, in turn, the Black Sea, both of which also",touch,touches,touch,-32.08334541320801,-42.92864227294922,touch,True,10.845296859741211
Their forked tongues are used as organs of taste and smell and some species have sensory pits on their heads enabling them to locate warm-blooded prey.,Their forked tongues are used as organs of taste and smell and some species,have,has,have,-10.63353157043457,-10.653032302856445,have,True,0.019500732421875
"While humans and other organisms generally place less value on future costs/benefits as compared to those in the present, some have shorter time horizons than others and these people tend to be less cooperative.","While humans and other organisms generally place less value on future costs/benefits as compared to those in the present, some",has,have,have,-10.504886627197266,-10.568183898925781,has,,-0.06329727172851562
"While humans and other organisms generally place less value on future costs/benefits as compared to those in the present, some have shorter time horizons than others and these people tend to be less cooperative.","While humans and other organisms generally place less value on future costs/benefits as compared to those in the present, some have shorter time horizons than others and these people",tend,tends,tend,-20.864347457885742,-21.31761360168457,tend,True,0.4532661437988281
"Some common characteristics are listed: Algae that form aggregations that have been described as turfs include diatoms, cyanobacteria, chlorophytes, phaeophytes and rhodophytes.",Some common characteristics are listed: Algae that form aggregations that have been described as turfs,include,includes,include,-10.73518180847168,-10.692562103271484,includes,,-0.04261970520019531
"Rifting in the central segment, however, coincided with the Cretaceous Normal Superchron (also known as the Cretaceous quiet period), a 40 Ma period without magnetic reversals, which makes it difficult to date sea-floor spreading in this segment.","Rifting in the central segment, however, coincided with the Cretaceous Normal Superchron (also known as the Cretaceous quiet period), a 40 Ma period without magnetic reversals, which",makes,make,makes,-11.226373672485352,-11.049555778503418,make,,-0.1768178939819336
"The metal reacts with the water first, breaking the hydrogen bonds in the water and producing hydrogen gas; this takes place faster for the more reactive heavier alkali metals.","The metal reacts with the water first, breaking the hydrogen bonds in the water and producing hydrogen gas; this",take,takes,takes,-20.434127807617188,-20.515409469604492,take,,-0.08128166198730469
A language may spell some words with unpronounced letters that exist for historical or other reasons.,A language may spell some words with unpronounced letters that,exists,exist,exist,-21.19757652282715,-10.444001197814941,exist,True,10.753575325012207
"Media Media anthropology (also known as the anthropology of media or mass media) emphasizes ethnographic studies as a means of understanding producers, audiences, and other cultural and social aspects of mass media.",Media Media anthropology (also known as the anthropology of media or mass media),emphasize,emphasizes,emphasizes,-28.7600040435791,-28.866113662719727,emphasize,,-0.106109619140625
"These are not the only phosphides and arsenides of the alkali metals: for example, potassium has nine different known phosphides, with formulae K3P, K4P3, K5P4, KP, K4P6, K3P7, K3P11, KP10.3, and KP15.","These are not the only phosphides and arsenides of the alkali metals: for example, potassium",have,has,has,-10.23034954071045,-10.277854919433594,have,,-0.04750537872314453
"""As he [Zeus] cut them one after another, he bade Apollo give the face and the half of the neck a turn...","""As he [Zeus] cut them one after another, he bade Apollo",give,gives,give,-35.78368377685547,-35.92899513244629,give,True,0.1453113555908203
"ANSI also designates specific standards as American National Standards, or ANS, when the Institute determines that the standards were developed in an environment that is equitable, accessible and responsive to the requirements of various stakeholders.","ANSI also designates specific standards as American National Standards, or ANS, when the Institute",determine,determines,determines,-31.98463726043701,-31.456698417663574,determines,True,0.5279388427734375
"Nevertheless, it is estimated that in up to 20% of amphibian species, one or both adults play some role in the care of the young.","Nevertheless, it is estimated that in up to 20% of amphibian species, one or both adults",plays,play,play,-10.508295059204102,-10.515238761901855,plays,,-0.006943702697753906
"The Roman form is used in most printed material; it consists of a small loop with an arc over it (""a"").",The Roman form is used in most printed material; it,consists,consist,consists,-20.84173583984375,-21.061969757080078,consists,True,0.22023391723632812
"Comparisons can also look at tests of trend, such as linear and quadratic relationships, when the independent variable involves ordered levels.","Comparisons can also look at tests of trend, such as linear and quadratic relationships, when the independent variable",involve,involves,involves,-20.444440841674805,-20.485942840576172,involve,,-0.04150199890136719
This type of assistive technology helps people with hearing loss participate more fully in their hearing communities by allowing them to hear more clearly.,This type of assistive technology helps people with hearing loss,participates,participate,participate,-22.362741470336914,-22.0950927734375,participate,True,0.26764869689941406
This type of assistive technology helps people with hearing loss participate more fully in their hearing communities by allowing them to hear more clearly.,This type of assistive technology helps people with hearing loss participate more fully in their hearing communities by allowing them to,hear,hears,hear,-20.154924392700195,-20.095911026000977,hears,,-0.05901336669921875
"As with We the Living, Rand's later success allowed her to get a revised version published in 1946, which has sold over 3.5 million copies.","As with We the Living, Rand's later success allowed her to",gets,get,get,-10.329568862915039,-0.0,get,True,10.329568862915039
"Hobbes rejected one of the most famous theses of Aristotle's politics, namely that human beings are naturally suited to life in a polis and do not fully realize their natures until they exercise the role of citizen.","Hobbes rejected one of the most famous theses of Aristotle's politics, namely that human beings are naturally suited to life in a polis and do not fully realize their natures until they",exercise,exercises,exercise,-21.174354553222656,-31.93270969390869,exercise,True,10.758355140686035
"Unlike ganoid scales, which are found in non-teleost actinopterygians, new scales are added in concentric layers as the fish grows.","Unlike ganoid scales, which are found in non-teleost actinopterygians, new scales are added in concentric layers as the fish",grows,grow,grows,-21.68391990661621,-10.480000495910645,grow,,-11.203919410705566
"A U.S. State Department report on the matter mentions detention of members of certain Muslim and Christian groups, and many groups have difficulty registering with the SCWRA.","A U.S. State Department report on the matter mentions detention of members of certain Muslim and Christian groups, and many groups",has,have,have,-10.405583381652832,-10.474247932434082,has,,-0.06866455078125
"Since impressions are all that are left and not the exact stimuli, dreams do not resemble the actual waking experience.","Since impressions are all that are left and not the exact stimuli, dreams do not",resembles,resemble,resemble,-29.60764503479004,-19.4678955078125,resemble,True,10.139749526977539
"Art is the practical consequence of this brief aesthetic contemplation, since it attempts to depict the essence/pure Ideas of the world.","Art is the practical consequence of this brief aesthetic contemplation, since it",attempt,attempts,attempts,-19.80099105834961,-30.37397575378418,attempt,,-10.57298469543457
"a generally-accepted but unofficial term for a paying non-crew passenger who flies a private non-NASA or military vehicles above is a space tourist (as of 2020, nobody has yet qualified for this status)",a generally-accepted but unofficial term for a paying non-crew passenger who,fly,flies,flies,-10.832762718200684,-11.135998725891113,fly,,-0.3032360076904297
"In the few fragmentary poems of the Epic Cycle which describe the hero's death (i.e. the Cypria, the Little Iliad by Lesches of Pyrrha, the Aithiopis and Iliou persis by Arctinus of Miletus), there is no trace of any reference to his general invulnerability or his famous weakness at the heel.",In the few fragmentary poems of the Epic Cycle which,describes,describe,describe,-20.375436782836914,-20.238065719604492,describe,True,0.13737106323242188
"Weapons Weapons training in aikido traditionally includes the short staff () (these techniques closely resemble the use of the bayonet, or Jkend), the wooden sword (), and the knife ().",Weapons Weapons training in aikido traditionally includes the short staff () (these techniques closely,resemble,resembles,resemble,-19.376811981201172,-30.31029224395752,resemble,True,10.933480262756348
"Brig. Gen. Lloyd Tilghman surrendered the 94 remaining officers and men of his approximately 3,000-man force which had not been sent to Fort Donelson before U.S. Grant's force could even take up their positions.","Brig. Gen. Lloyd Tilghman surrendered the 94 remaining officers and men of his approximately 3,000-man force which had not been sent to Fort Donelson before U.S. Grant's force could even",takes,take,take,-11.52612590789795,-11.531086921691895,takes,,-0.0049610137939453125
"The appellate court reviews issues of law de novo (anew, no deference) and may reverse or modify the lower court's decision if the appellate court believes the lower court misapplied the facts or the law.","The appellate court reviews issues of law de novo (anew, no deference) and may reverse or modify the lower court's decision if the appellate court",believes,believe,believes,-21.413936614990234,-21.317121505737305,believe,,-0.09681510925292969
"However, almost half the population has to be considered poor, with dramatic differences between the countryside and the cities, where slightly more than 50% of the people reside.","However, almost half the population has to be considered poor, with dramatic differences between the countryside and the cities, where slightly more than 50% of the people",resides,reside,reside,-20.749425888061523,-20.90275001525879,resides,,-0.15332412719726562
"Anarchists such as Leo Tolstoy and Herbert Read stated that the border between the artist and the non-artist, what separates art from a daily act, is a construct produced by the alienation caused by capitalism and it prevents humans from living a joyful life.","Anarchists such as Leo Tolstoy and Herbert Read stated that the border between the artist and the non-artist, what",separate,separates,separates,-22.227060317993164,-22.18968391418457,separates,True,0.03737640380859375
"Anarchists such as Leo Tolstoy and Herbert Read stated that the border between the artist and the non-artist, what separates art from a daily act, is a construct produced by the alienation caused by capitalism and it prevents humans from living a joyful life.","Anarchists such as Leo Tolstoy and Herbert Read stated that the border between the artist and the non-artist, what separates art from a daily act, is a construct produced by the alienation caused by capitalism and it",prevents,prevent,prevents,-21.605247497558594,-21.333616256713867,prevent,,-0.27163124084472656
"As of 2021 in the United States, astronaut status is conferred on a person depending on the authorizing agency: one who flies in a vehicle above for NASA or the military is considered an astronaut (with no qualifier)","As of 2021 in the United States, astronaut status is conferred on a person depending on the authorizing agency: one who",fly,flies,flies,-10.37836742401123,-10.47075366973877,fly,,-0.09238624572753906
"One film was disqualified after winning the award, and had the winner return the Oscar:","One film was disqualified after winning the award, and had the winner",returns,return,return,-21.41142463684082,-10.443700790405273,return,True,10.967723846435547
"Increased nuclei concentrations lead to increased cloud droplet number concentrations, which in turn leads to increased cloud albedo, increased light scattering and radiative cooling (first indirect effect), but also leads to reduced precipitation efficiency and increased lifetime of the cloud (second indirect effect).","Increased nuclei concentrations lead to increased cloud droplet number concentrations, which in turn",leads,lead,leads,-21.970985412597656,-11.210267066955566,lead,,-10.76071834564209
"Beyond improving their existing association, the records of the Second Continental Congress show that the need for a declaration of independence was intimately linked with the demands of international relations.","Beyond improving their existing association, the records of the Second Continental Congress",shows,show,show,-10.547517776489258,-10.725377082824707,shows,,-0.17785930633544922
"Straw is useful in binding the brick together and allowing the brick to dry evenly, thereby preventing cracking due to uneven shrinkage rates through the brick.",Straw is useful in binding the brick together and allowing the brick to,dry,dries,dry,-9.9719820022583,-20.0396728515625,dry,True,10.0676908493042
"Einstein and Szilrd, along with other refugees such as Edward Teller and Eugene Wigner, ""regarded it as their responsibility to alert Americans to the possibility that German scientists might win the race to build an atomic bomb, and to warn that Hitler would be more than willing to resort to such a weapon.""","Einstein and Szilrd, along with other refugees such as Edward Teller and Eugene Wigner, ""regarded it as their responsibility to alert Americans to the possibility that German scientists might",wins,win,win,-21.024450302124023,-10.312342643737793,win,True,10.71210765838623
"Some jurisdictions have specialized appellate courts, such as the Texas Court of Criminal Appeals, which only hears appeals raised in criminal cases, and the U.S. Court of Appeals for the Federal Circuit, which has general jurisdiction but derives most of its caseload from patent cases, on one hand, and appeals from the Court of Federal Claims on the other.","Some jurisdictions have specialized appellate courts, such as the Texas Court of Criminal Appeals, which only",hear,hears,hears,-20.31330108642578,-20.71240997314453,hear,,-0.39910888671875
"Some jurisdictions have specialized appellate courts, such as the Texas Court of Criminal Appeals, which only hears appeals raised in criminal cases, and the U.S. Court of Appeals for the Federal Circuit, which has general jurisdiction but derives most of its caseload from patent cases, on one hand, and appeals from the Court of Federal Claims on the other.","Some jurisdictions have specialized appellate courts, such as the Texas Court of Criminal Appeals, which only hears appeals raised in criminal cases, and the U.S. Court of Appeals for the Federal Circuit, which",have,has,has,-11.20872688293457,-11.225015640258789,have,,-0.01628875732421875
"In modern terminology, an acid is implicitly a Brnsted acid and not a Lewis acid, since chemists almost always refer to a Lewis acid explicitly as a Lewis acid.","In modern terminology, an acid is implicitly a Brnsted acid and not a Lewis acid, since chemists almost always",refer,refers,refer,-21.00313949584961,-21.300424575805664,refer,True,0.2972850799560547
"It is distinguished from judicial review, which refers to the court's overriding constitutional or statutory right to determine if a legislative act or administrative decision is defective for jurisdictional or other reasons (which may vary by jurisdiction).","It is distinguished from judicial review, which refers to the court's overriding constitutional or statutory right to determine if a legislative act or administrative decision is defective for jurisdictional or other reasons (which may",varies,vary,vary,-21.78571891784668,-21.77762222290039,vary,True,0.008096694946289062
The Himalayas that stretch from north-west of India to far north-east offers a number of high rise peaks that are considered ideal for mountaineering.,The Himalayas that stretch from north-west of India to far north-east,offer,offers,offers,-11.402579307556152,-23.045392990112305,offer,,-11.642813682556152
"This propensity to premature ignition is measured by the octane rating of the fuel, where 2,2,4-trimethylpentane (isooctane) has an arbitrary value of 100, and heptane has a value of zero.","This propensity to premature ignition is measured by the octane rating of the fuel, where 2,2,4-trimethylpentane (isooctane)",have,has,has,-10.830599784851074,-10.88017749786377,have,,-0.04957771301269531
"This propensity to premature ignition is measured by the octane rating of the fuel, where 2,2,4-trimethylpentane (isooctane) has an arbitrary value of 100, and heptane has a value of zero.","This propensity to premature ignition is measured by the octane rating of the fuel, where 2,2,4-trimethylpentane (isooctane) has an arbitrary value of 100, and heptane",has,have,has,-10.862799644470215,-10.843381881713867,have,,-0.019417762756347656
", the snakes have developed immunity through genetic changes and they feed on the amphibians with impunity.",", the snakes have developed immunity through genetic changes and they",feeds,feed,feed,-20.478452682495117,-9.88744831085205,feed,True,10.591004371643066
"When in precipitation, a global model characterized by convective and abundant rains can be defined during spring and summer, which can last until autumn (May, June and August are usually the rainiest months).","When in precipitation, a global model characterized by convective and abundant rains can be defined during spring and summer, which can",lasts,last,last,-20.319446563720703,-10.274340629577637,last,True,10.045105934143066
"The council of foreign affairs states that the World Bank mentioned that Sonangol is a taxpayer, it carries out quasi-fiscal activities, it invests public funds, and, as concessionaire, it is a sector regulator.","The council of foreign affairs states that the World Bank mentioned that Sonangol is a taxpayer, it",carry,carries,carries,-9.394951820373535,-19.091753005981445,carry,,-9.69680118560791
